Geolocation_Key,Time_Key,Goal_Key,Target_Key,value
3,718,204,420,89.56
3,719,204,420,92.64
3,720,204,420,93.47
3,721,204,420,88.9647
3,722,204,420,
3,723,204,420,
4,701,204,420,90.05
4,702,204,420,71.73
4,703,204,420,71.88
4,704,204,420,71.86
4,705,204,420,71.29
4,706,204,420,69.64
4,707,204,420,72.1
4,708,204,420,70.85
4,709,204,420,71.32
4,710,204,420,75.8
4,711,204,420,81.19
4,712,204,420,80.92
4,713,204,420,82.5
4,714,204,420,84.51
4,715,204,420,83.98
4,716,204,420,88.34
4,717,204,420,89.18
4,718,204,420,89.64
4,719,204,420,90.68
4,720,204,420,92.83
4,721,204,420,92.3834
4,722,204,420,
4,723,204,420,
5,701,204,420,81.11
5,702,204,420,65.09
5,703,204,420,64.97
5,704,204,420,67.36
5,705,204,420,66.71
5,706,204,420,64.95
5,707,204,420,64.42
5,708,204,420,64.55
5,709,204,420,63.36
5,710,204,420,72.81
5,711,204,420,75.51
5,712,204,420,76.51
5,713,204,420,77.5
5,714,204,420,78.74
5,715,204,420,78.46
5,716,204,420,83.5
5,717,204,420,84.53
5,718,204,420,86.24
5,719,204,420,89.01
5,720,204,420,93.13
5,721,204,420,97.0227
5,722,204,420,
5,723,204,420,
6,701,204,420,76.58
6,702,204,420,71.02
6,703,204,420,72.04
6,704,204,420,73.65
6,705,204,420,74.31
6,706,204,420,73.22
6,707,204,420,72.99
6,708,204,420,74.48
6,709,204,420,74.63
6,710,204,420,72.39
6,711,204,420,78.97
6,712,204,420,79.3
6,713,204,420,80.19
6,714,204,420,82.67
6,715,204,420,82.48
6,716,204,420,86.42
6,717,204,420,87.52
6,718,204,420,87.46
6,719,204,420,88.83
6,720,204,420,91.57
6,721,204,420,89.9462
6,722,204,420,
6,723,204,420,
7,701,204,420,74.24
7,702,204,420,70.46
7,703,204,420,72.05
7,704,204,420,74.38
7,705,204,420,75.33
7,706,204,420,73.53
7,707,204,420,75.61
7,708,204,420,78.22
7,709,204,420,79.14
7,710,204,420,71.2
7,711,204,420,74.8
7,712,204,420,76.85
7,713,204,420,78.39
7,714,204,420,79.69
7,715,204,420,79.42
7,716,204,420,85.25
7,717,204,420,86.46
7,718,204,420,87.21
7,719,204,420,89.97
7,720,204,420,91.62
7,721,204,420,88.3569
7,722,204,420,
7,723,204,420,
10,701,204,420,67.88
10,702,204,420,59.8
10,703,204,420,60.81
10,704,204,420,61.76
10,705,204,420,62.36
10,706,204,420,59.88
10,707,204,420,60.77
10,708,204,420,62.01
10,709,204,420,61.13
10,710,204,420,61.07
10,711,204,420,64.44
10,712,204,420,67.74
10,713,204,420,68.22
10,714,204,420,71.41
10,715,204,420,71.25
10,716,204,420,78.37
10,717,204,420,79.33
10,718,204,420,81.86
10,719,204,420,87.51
10,720,204,420,86.59
10,721,204,420,79.4398
10,722,204,420,
10,723,204,420,
11,701,204,420,62.63
11,702,204,420,63.76
11,703,204,420,62.88
11,704,204,420,63.69
11,705,204,420,63.01
11,706,204,420,60.99
11,707,204,420,58.85
11,708,204,420,59.21
11,709,204,420,59.08
11,710,204,420,61.36
11,711,204,420,67.6
11,712,204,420,68.82
11,713,204,420,69.73
11,714,204,420,71.69
11,715,204,420,71.59
11,716,204,420,81.36
11,717,204,420,80.81
11,718,204,420,82.66
11,719,204,420,89.21
11,720,204,420,89.96
11,721,204,420,91.3535
